date;time;type;value;unit
28/01/2015;11:23:44.718;indoor relative humidity;35.0;%
28/01/2015;11:24:44.111;indoor relative humidity;35.0;%
28/01/2015;11:24:49.412;indoor temperature;21.7;°C
28/01/2015;11:24:55.442;volatile organic compounds;0.05;ppm
28/01/2015;11:25:01.042;carbon dioxide;405;ppm
28/01/2015;11:25:45.724;indoor relative humidity;35.0;%
28/01/2015;11:26:46.617;indoor relative humidity;35.0;%
28/01/2015;11:27:44.519;indoor relative humidity;35.0;%
28/01/2015;11:27:52.119;indoor temperature;21.8;°C
28/01/2015;11:27:54.639;volatile organic compounds;0.05;ppm
28/01/2015;11:27:59.630;carbon dioxide;414;ppm
28/01/2015;11:28:46.122;indoor relative humidity;35.0;%
28/01/2015;11:29:45.635;indoor relative humidity;35.0;%
28/01/2015;11:30:45.417;indoor relative humidity;35.0;%
28/01/2015;11:30:50.738;indoor temperature;21.8;°C
28/01/2015;11:30:56.638;volatile organic compounds;0.05;ppm
28/01/2015;11:30:59.158;carbon dioxide;408;ppm
28/01/2015;11:31:44.520;indoor relative humidity;35.0;%
28/01/2015;11:32:44.222;indoor relative humidity;35.0;%
28/01/2015;11:33:47.125;indoor relative humidity;35.0;%
28/01/2015;11:33:49.505;indoor temperature;21.2;°C
28/01/2015;11:33:54.135;volatile organic compounds;0.05;ppm
28/01/2015;11:33:59.765;carbon dioxide;408;ppm
28/01/2015;11:34:44.117;indoor relative humidity;35.0;%
28/01/2015;11:35:46.800;indoor relative humidity;35.0;%
28/01/2015;11:36:46.232;indoor relative humidity;35.0;%
28/01/2015;11:36:50.422;indoor temperature;21.3;°C
28/01/2015;11:36:57.043;volatile organic compounds;0.05;ppm
28/01/2015;11:36:59.853;carbon dioxide;405;ppm
28/01/2015;11:37:46.215;indoor relative humidity;35.0;%
28/01/2015;11:38:45.517;indoor relative humidity;35.0;%
28/01/2015;11:39:47.129;indoor relative humidity;35.0;%
28/01/2015;11:39:51.519;indoor temperature;21.6;°C
28/01/2015;11:39:54.430;volatile organic compounds;0.05;ppm
28/01/2015;11:40:00.030;carbon dioxide;402;ppm
28/01/2015;11:40:45.702;indoor relative humidity;35.0;%
28/01/2015;11:41:44.515;indoor relative humidity;35.0;%
28/01/2015;11:42:45.009;indoor relative humidity;35.0;%
28/01/2015;11:42:50.649;indoor temperature;21.3;°C
